iter	Passed	Remaining
419	3300	628
420	3309	621
421	3315	612
422	3324	605
423	3328	596
424	3334	588
425	3345	581
426	3354	573
427	3362	565
428	3374	558
429	3379	550
430	3387	542
431	3391	533
432	3398	525
433	3408	518
434	3419	510
435	3426	503
436	3439	495
437	3445	487
438	3455	480
439	3461	472
440	3470	464
441	3474	455
442	3483	448
443	3487	439
444	3494	431
445	3503	424
446	3513	416
447	3521	408
448	3528	400
449	3534	392
450	3541	384
451	3548	376
452	3555	368
453	3562	361
454	3569	353
455	3576	345
456	3584	337
457	3591	329
458	3598	321
459	3605	313
460	3613	305
461	3619	297
462	3627	289
463	3635	282
464	3642	274
465	3651	266
466	3657	258
467	3664	250
468	3671	242
469	3679	234
470	3686	226
471	3693	219
472	3701	211
473	3708	203
474	3714	195
475	3721	187
476	3727	179
477	3733	171
478	3738	163
479	3744	156
480	3751	148
481	3760	140
482	3767	132
483	3774	124
484	3780	116
485	3789	109
486	3796	101
487	3803	93
488	3810	85
489	3817	77
490	3824	70
491	3830	62
492	3836	54
493	3842	46
494	3848	38
495	3856	31
496	3863	23
497	3869	15
498	3874	7
499	3880	0
